FID,MN,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
374,9,2016,29571,-73.88319916834553,40.66637605099378,1,0,0,1
375,9,2016,23190,-73.94401935420561,40.746479152889655,1,1,0,0
376,9,2016,40127,-73.7414100830439,40.71359343293246,1,0,0,1
377,9,2016,20583,-73.99442117851245,40.719391299780725,1,0,0,1
378,9,2016,45500,-73.89585115089682,40.74027204257796,1,1,0,1
379,9,2016,39328,-73.73533558273245,40.6652553359717,1,0,0,1
380,9,2016,20647,-73.99683993968111,40.737360888544224,1,0,0,1
381,9,2016,39290,-73.7406570321834,40.67766911846794,1,0,0,1
382,9,2016,16494,-73.96982318225079,40.58842666031577,1,1,0,0
383,9,2016,18948,-73.95360651504167,40.666440255066156,1,0,0,1
384,9,2016,25885,-73.91559912140731,40.63303634099177,1,0,0,1
385,9,2016,55439,-73.83324515753715,40.76257082198132,1,0,0,1
386,9,2016,62941,-73.7245926110282,40.765428224709524,1,0,0,1
387,9,2016,48752,-73.89714379856608,40.86244506456721,1,1,1,1
388,9,2016,32458,-73.85329874877114,40.708928389424145,1,0,0,1
389,9,2016,22918,-73.95835565442104,40.760538923476936,1,0,0,1
390,9,2016,49572,-73.88705142612012,40.884349575868136,1,0,0,1
391,9,2016,15935,-73.98870191380486,40.71418554118213,1,1,0,0
392,9,2016,19082,-73.94326176888319,40.680050606583826,1,0,1,0
